                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3177,                 2.6823,                 1.4086,                0.63308,                0.56235,                0.58975,                0.37098,                   1.27,                 1.6086,                 1.4249,              0.0033205,              0.0033205,              0.0033205
                      2,                 1.2277,                 1.5938,                 1.3608,                0.71183,                0.62536,                0.68577,                0.42883,                 1.2695,                 1.3208,                 1.3925,              0.0066318,              0.0066318,              0.0066318
                      3,                 1.2411,                 1.5063,                   1.35,                0.44515,                 0.3616,                0.32672,                0.18536,                 1.5168,                  2.357,                 1.5902,              0.0099212,              0.0099212,              0.0099212
                      4,                 1.2506,                 1.4461,                 1.3432,                0.62267,                0.47255,                0.52689,                0.30664,                 1.5034,                 1.7096,                 1.4479,               0.009901,               0.009901,               0.009901
                      5,                 1.2225,                 1.3184,                  1.322,                0.73491,                0.60451,                0.67971,                 0.4307,                 1.3059,                 1.3178,                 1.3486,               0.009868,               0.009868,               0.009868
                      6,                 1.2036,                 1.2424,                 1.3112,                0.70266,                 0.6113,                0.66446,                 0.4251,                 1.2648,                 1.2973,                 1.3123,               0.009835,               0.009835,               0.009835
                      7,                 1.1839,                 1.1856,                 1.2997,                0.73509,                0.62422,                0.68946,                0.42664,                 1.3539,                 1.2257,                 1.3954,               0.009802,               0.009802,               0.009802
                      8,                 1.1738,                 1.1479,                 1.2921,                0.78156,                0.69079,                 0.7705,                0.51044,                 1.1888,                 1.0279,                 1.2607,               0.009769,               0.009769,               0.009769
                      9,                 1.1609,                 1.1178,                 1.2863,                0.76927,                0.67265,                0.75088,                0.49355,                 1.2127,                 1.0686,                 1.2811,               0.009736,               0.009736,               0.009736
                     10,                  1.157,                 1.0972,                 1.2841,                  0.745,                0.65065,                0.72051,                0.47237,                  1.219,                 1.1204,                 1.3031,               0.009703,               0.009703,               0.009703
                     11,                 1.1518,                  1.075,                 1.2785,                0.76075,                0.62966,                0.70486,                0.45905,                 1.2516,                 1.1848,                 1.3007,                0.00967,                0.00967,                0.00967
                     12,                 1.1456,                 1.0586,                 1.2731,                0.81372,                0.72201,                0.80205,                0.53384,                  1.185,                0.91679,                 1.2513,               0.009637,               0.009637,               0.009637
                     13,                 1.1395,                 1.0481,                 1.2731,                0.80554,                0.72275,                0.80436,                0.54457,                 1.1534,                0.94289,                 1.2417,               0.009604,               0.009604,               0.009604
                     14,                 1.1363,                 1.0374,                  1.271,                0.81705,                0.75561,                0.82944,                0.55066,                 1.1811,                0.84839,                 1.2452,               0.009571,               0.009571,               0.009571
                     15,                  1.133,                 1.0256,                 1.2678,                0.78185,                0.67317,                0.75877,                0.50997,                 1.1836,                 1.0803,                 1.2522,               0.009538,               0.009538,               0.009538
                     16,                 1.1301,                 1.0162,                 1.2654,                0.82544,                0.75507,                0.82437,                0.55801,                  1.141,                0.83958,                  1.229,               0.009505,               0.009505,               0.009505
                     17,                 1.1242,                 1.0141,                 1.2654,                0.83954,                0.78534,                0.85216,                0.58415,                 1.1244,                0.76307,                 1.2068,               0.009472,               0.009472,               0.009472
                     18,                 1.1225,                0.99505,                 1.2601,                0.83607,                 0.7723,                 0.8409,                0.57658,                  1.122,                0.78135,                 1.2156,               0.009439,               0.009439,               0.009439
                     19,                 1.1189,                0.99316,                  1.261,                0.84142,                0.78122,                0.84914,                0.58182,                 1.1249,                0.77611,                 1.2235,               0.009406,               0.009406,               0.009406
                     20,                 1.1203,                0.99094,                 1.2612,                0.84392,                0.79343,                0.85788,                0.58845,                 1.1166,                0.74965,                 1.2006,               0.009373,               0.009373,               0.009373
                     21,                 1.1167,                0.98387,                 1.2587,                0.84845,                0.79236,                0.85885,                0.59645,                 1.1035,                0.72999,                 1.1941,                0.00934,                0.00934,                0.00934
                     22,                 1.1162,                0.98252,                 1.2575,                0.84314,                0.76681,                0.83897,                0.57991,                 1.1077,                0.78141,                 1.2085,               0.009307,               0.009307,               0.009307
                     23,                 1.1127,                0.97487,                 1.2564,                0.83511,                0.77676,                0.84627,                0.58538,                 1.1048,                0.76143,                 1.1979,               0.009274,               0.009274,               0.009274
                     24,                  1.111,                0.96749,                 1.2526,                0.85365,                0.79371,                 0.8627,                0.60068,                 1.0834,                0.72327,                 1.1866,               0.009241,               0.009241,               0.009241
                     25,                 1.1105,                0.97184,                 1.2515,                0.86312,                0.80762,                0.87276,                0.60984,                 1.0801,                0.69588,                 1.1808,               0.009208,               0.009208,               0.009208
                     26,                 1.1094,                0.96338,                 1.2548,                0.86698,                0.81703,                0.88182,                0.61795,                 1.0658,                0.67097,                 1.1701,               0.009175,               0.009175,               0.009175
